,index,Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other
49,5004,"Inikah hasil ""pencitraan"" USER ? Tanya sama beliau USER URL",1,0,1,0,0,0,0,0,1
50,10631,USER Cebong gk kan ngerti yg ginian.\nOtak cuma aksesoris di kepala nya.\n#2019GantiPresiden',1,1,0,1,0,0,0,0,1
51,3861,RT USER: USER ganyang PKI,1,0,0,1,0,1,0,0,0
52,10697,USER USER USER USER USER USER USER USER USER USER USER USER Itu bukan akun ketum Andre. Lu cebong penyusup Homo USER kampret !!',1,1,1,0,0,0,0,1,0
53,9108,"USER Agama/ideologi lama akan digantikan. Dan Agama2 masa depan tdk lagi lahir dari dalam goa berbatu, tapi dari lembah Silikon, berbasis tekno. Salah satu agama itu yg fokus di bab 10: tekno-humanisme (yang melanjutkan cita2 liberal dengan mengg",0,0,0,0,0,0,0,0,0
54,3045,"Para pembajak agama ini intoleran dan reaktif, mereka terbiasa menggunakan agama sebagai badik untuk menusuk lawan duniawinya. Tapi mendadak toleran ketika keyakinannya dihina oleh kawan duniawinya. ; Ya, mereka memang gunakan agama untuk mengejar tujuan2",1,0,0,1,1,0,0,0,0
55,10320,RT USER Pribumi harus tolak etnis cina jadi pemimpin di indonesia jgn di adu dgn pancasila atau bhineka..,1,0,0,1,0,1,0,0,0
56,11954,USER ternyata senjata yang paling mematikan bukan bom nuklir\ntapi mulutnya yang ucap janji2 manis mau lamar tau2nya udah lamar cewek lain juga.\n\nastagfirullah',0,0,0,0,0,0,0,0,0
57,3329,"USER USER Follback , gua baca dn lo kirain setan wakaka'",0,1,0,0,0,0,0,0,0
58,2451,"USER Politik butuh orang beragama, tapi bukan agama dipolotikan kayak kamu jul eh koh eh tad...",0,0,0,0,0,0,0,0,0
59,11209,"Itu lohhh yg dilakuin oppa oppa koriya, tapi banyak yg bilang oppa koriya banci tapi masa banci ikut militeran 2 tahun :) URL",0,1,0,0,0,0,0,0,0
60,10411,"Jika Anda jawab pertanyaan apa Muhammad Nabi Gadungan, persoalan sperti ini tak ada lagi, bangsa Indonesia akan kuat",1,1,0,1,1,0,0,0,0
61,7988,"RT USER: Tonton dong yang ini USER USER USER meskipun di Hina, Di intimidasi. USER tetep dateng ke bandung\xe2\x80\xa6'",0,0,0,0,0,0,0,0,0
62,8339,USER Memek mulus',0,1,0,0,0,0,0,0,0
63,4335,Perilaku Si BABI USER ini memang benci dgn hal berbau Islam. Cocok dgn Ahok. USER,1,1,1,0,1,0,0,0,0
64,7647,brengsek anjeng yut ga gini dong ah gila URL,1,1,1,0,0,0,0,0,1
65,5157,ok masalahnya aku sikda pun banding kolej mrsm ngan sbp???? aku just padah jangan banding RESULT exam tiga buah sekolah ya bah paloi????? aku padah tiga2 ya paper exam lain bah bebal???? kau paloi kah bodo??????',0,1,0,0,0,0,0,0,0
66,8500,RT USER: Mimpi yang baik (sholeh) adalah dari Allah dan mimpi (buruk) adalah dari setan. (Bukhari) #OnBerkah',0,0,0,0,0,0,0,0,0
67,10901,RT USER: Om ini \xf0\x9f\x91\x87 mengoda banget pamer kontol besar bikin pikiran terbawa arus cinta \xf0\x9f\x92\x98 URL,0,1,0,0,0,0,0,0,0
68,8715,USER Sibuk ngewe',0,1,0,0,0,0,0,0,0
69,3742,"Rama biasa bngt ngetweet sendiri bales sendiri, kampang.'",1,1,1,0,0,0,0,0,1
70,12721,USER \xe2\x80\x9clagi ngetren di Thailand. Cebong mana ngerti!\xe2\x80\x9d\n\nsotoy banget nih lumpur idup',1,1,1,0,0,0,0,0,1
71,12082,"Cek Kesiapan Pengaman Pilkada, Ternyata Polres Samarinda ... - Tribun Kaltim",0,0,0,0,0,0,0,0,0
72,9652,USER Jancuk ngomongin manga nyambungnya ke lagu jeketi. Wota kalo udh dgk bener2 dah',0,1,0,0,0,0,0,0,0
73,5683,"USER Iya, karena 'tuna' sendiri artinya cacat. Jadi terbilang kasar buat mereka. Makanya lebih milih disebut teman tuli.""",0,0,0,0,0,0,0,0,0
74,47,"USER USER USER USER Kata Sembahyang mengadopsi tradisi lokal pada masa kerjaan Hindu.\n\nIstilah\xc2\xa0sembahyang\xc2\xa0pun lahir dari tradisi ritus\xc2\xa0menyembahHyang (Yang Tunggal), sama dengan\xc2\xa0shalat menyembah All",0,0,0,0,0,0,0,0,0
75,4137,"Dan engaku malah party sana sini, tak berhenti seperti cinta ku kepadamu tak pernah berarti. Bajingan'",1,1,1,0,0,0,0,0,1
76,4718,USER bodo yang penting mak bahagia',0,1,0,0,0,0,0,0,0
77,11096,"USER heh kontol, jan sok pemes lu di rp, muka kek memek, org tua lu kek monyet, agama lu aje agama kontol 9",1,1,1,0,1,0,1,1,0
78,10799,"USER Sumpah ya paling gasuka sama orang norak gini. \nKalau pengen berisik, sewa aja tuh satu studio! Gatau diri. Udik ew'",1,1,1,0,0,0,0,0,1
79,9894,Kapan nih PDIP NASDEM bicara tegas GANYANG PKI!!! Koq jd membleh USER USER USER USER USER USER,1,0,0,1,0,1,0,0,0
80,792,USER Jijik gua cowo2 pake baju pink2\n\nPERNAH GUA NONTON VIDKEP KAN YA. GUA KIRA CEWE. KAKINYA MUNGIL. PAKE KAOS KAKI YANG SEPAHA ITU WARNA PINK. PAKE BAJU PINK YANG PANJANG SAMPE SEPAHA\n\nPAS DIBUKA ISINYA TITIT. ASUUUUU',0,1,0,0,0,0,0,0,0
81,5376,cewe itu gak selama nya bisa sabar ngadepin kelakukan bajingan laki-laki',0,1,0,0,0,0,0,0,0
82,7413,"USER USER USER Dengan kekuatan ekonomi kita sekarang, kalau kita punya daerah reklamasi, distrik bisnis dan pelabuhan bersebelahan lonjakan ekonomi kita akan fenomenal, pertumbuhan 7%+ bahkan lebih dan IHSG 10.000+ bukan tidak mungkin",0,0,0,0,0,0,0,0,0
83,10785,USER Melatih bangsa ini biar terbiasa kalau ada bom. \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',0,0,0,0,0,0,0,0,0
84,4791,"Sial Banget aKu Hari ini ! Udah Kena Copet , Sakit Mencret , Jalan Kepeleset , Kaki Lecet , Muka di jepret sama karet , ehh skarang status Sekarang Malah Di baca Sma Monyet .. !! wkwkwk'",0,1,0,0,0,0,0,0,0
85,9139,Mau di-Ahok-kan ya?,0,0,0,0,0,0,0,0,0
86,1484,Mpok silvi nyinyir melulu pertanyaan nya tapi sayang sesat! Maklum sih dese emakemak! #DebatFinalDKI #DebatFinalPilkadaJKT,1,1,1,0,0,0,0,0,1
87,8669,"USER USER USER USER USER USER USER USER Goblok lu, kl rizieq tuh tukang bikin onar, wajar kl org muak sm dia.. Siang teriak takbir malam chat mesum apa ga munafik tuh, udah gitu bikin orang bodoh kek lu.. Lha kl istri",1,1,1,0,0,0,0,1,0
88,2805,JakartaBanjir Pemimpinnya gak punya akhlak yg baik... PENISTA AGAMA.,1,0,1,0,1,0,0,0,0
89,2566,Padahal pak jokowi dah pesan kerja kerja dan kerja . Eh ini malah demo sigoblok teh.,1,1,1,0,0,0,0,0,1
90,1761,USER Ga munafik seokjin hyung lebih cocok soft',0,0,0,0,0,0,0,0,0
91,11691,when barzan nanyain isi spt pdhl praktikum spt gua belum nyobain ngisi baru dasar hukum dan lain2. jadi ketara bego',0,1,0,0,0,0,0,0,0
92,10157,USER Sebetulnya aku yg kegoda\nPengen bantuin kamu \n-\n-\nBantuin megang ujung kaosmu\nNutupin tytyd saat lagi eek.',0,1,0,0,0,0,0,0,0
93,1247,Keparat bener org macam mantan gue itu',1,1,1,0,0,0,0,0,1
94,7644,USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER,1,1,1,0,0,0,0,0,1
95,11467,Brengsek lagunya mantaaapppp!! URL,0,1,0,0,0,0,0,0,0
96,5801,USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER,1,1,1,0,0,0,0,0,1
97,12120,BUBARKAN partai politik !!!,1,0,0,1,0,0,0,0,1
98,9849,USER USER USER USER USER Nggak sama lah. Bank asing gak bisa atur2 perusahaan. Pemerintah bisa atur perusahaan sbg pemilik saham. Utang bisa dibayar dr keuntungan freeport.',0,0,0,0,0,0,0,0,0
99,950,Emang kalo temennya makan sampah kita jg harus makan sampah gtu? Kan gk sih ya.',0,0,0,0,0,0,0,0,0
100,4875,RT USER: Salah satu cara USER menghancurkan strategi musuhnya adalah dgn isu sara,1,0,1,0,0,0,0,0,1
101,12701,USER Aktifis 98 yg dukung jokowi itu adalah aktifis GMNI DAN PRD semua aktifis kiri ato komunis. Aktifis murni 98 tdk pernah mau di tumpangi dan non bayaran. Krn murni dr nurani.',0,0,0,0,0,0,0,0,0
102,5620,USER Siap menangkan jokowi 2019...biar kaum sumbu pendek makin kejang kejang,1,1,0,1,0,0,0,0,1
103,518,Aamiin ya rabb.. Tolong USER Indonesia ya Alah dgn yg lebiiihhhh baik..,1,0,1,0,0,0,0,0,1
104,7428,USER Iya win kayak ada kerajaan dan kayak ada komunis gt gasih? Wkwk',0,0,0,0,0,0,0,0,0
105,8462,USER Iya eh makanya dikupingku kek gak asing wkwk',0,0,0,0,0,0,0,0,0
106,11723,RT USER USER USER 7. Era baru pemerintahan Jokowi menjanjikan akan menyelesaikan kasus ini. Namun semua hanya tipuan,1,0,0,1,0,0,0,0,1
107,7894,TumbangkanJokowiRadikal LENGSERKAN JOKOWI,1,0,1,0,0,0,0,0,1
108,10290,Ini apaan pada ngomongin antek',0,0,0,0,0,0,0,0,0
109,10787,USER gua mendadak budek',0,0,0,0,0,0,0,0,0
110,4676,RT USER: Prabowo ini sampah gak ada gunanya buat bangsa ini. Amien Rais juga. URL,1,0,1,0,0,0,0,0,1
111,919,USER USER USER USER Ga penting ngpain lu komen. Kan tolol \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',1,1,1,0,0,0,0,0,1
112,1454,USER Cebong senior nihh',1,1,1,0,0,0,0,0,1
113,12847,"Mba ikutan yuk ke sgpore, vs thampines rovers, biar mbak ga di dalem mulu gitu gaul nya, mau ikut apa mau nge je dog aje mikirin the jak the jak yg kata nya kampungan :) // kalo mau ikut kabarin yaa, URL",1,1,0,1,0,0,0,0,1
114,6398,Heh! Bisa ga tutup congor lo yg bau itu! Bacot mulu kerjaan lo!',1,1,1,0,0,0,1,0,0
115,9582,yaudah apalagi yg harus di tunggu ini udah keluar jalur nya !! lengserkan jokowi JokowiEnd,1,0,1,0,0,0,0,0,1
116,5632,"USER Dia bodoh gila, pi baca tweet2 dia semua masalah sial'",1,1,1,0,0,0,1,0,0
117,5993,"Di masyarakat yg hanya percaya pada Hitam Putih dunia ini, gak akan ada yg percaya kalau ada Agamawan yg Komunis, Perokok yg mendukung larangan merokok, dan Pekerja keras yg gak sukses #QuotesMuke'",0,0,0,0,0,0,0,0,0
118,1873,USER USER Lucuk dan sipit hmmm',0,0,0,0,0,0,0,0,0
119,6684,"â??Saya mengajak agar para ulama mendinginkan situasi, menyejukkan situasi,â?? ungkap Presiden Jokowi USER",0,0,0,0,0,0,0,0,0
120,1330,USER Wah kesempatan neh langsung deh dimanfaatin buat pencitraaan oleh rezim..\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3',0,0,0,0,0,0,0,0,0
121,5112,USER USER Melina berarti pernah maen sitip mah',0,0,0,0,0,0,0,0,0
122,334,"USER USER.. Km terlalu mainstream mengaartikan ""pintar"". Pintar itu relatif tergantung mo dibawa kemana pengertiannya. Spt anda pintar meng-undeeestimate-kan org. Gw pinter komen ajah. Rejim now pinter mangkrakin janji2 doang. So...making",1,0,1,0,0,0,0,0,1
123,11190,USER brengsek loe lama lama..jd ber politik',1,1,1,0,0,0,0,0,1
124,3787,"USER Bentar yaa kuinget\xc2\xb2 lagi. Dia agak sipit gt yas, trs rambutnya cepak hampir gundul gt. Wajahnya oval. Udah gt yg ak inget. Wajahnya blur di ingetanku'",0,0,0,0,0,0,0,0,0
125,8994,USER Manis anjir gakuat gua le',0,1,0,0,0,0,0,0,0
126,7246,"Begitu USER bersuara udah bs dipastikan narasinya.. ""pembela PKI",1,0,1,0,0,0,0,0,1
127,4096,"siapa Hepa? seperti Uzza dan saudarinya, hepa/heba/khepat ad dewi/ tuhan perempuan Mesopotamian, Hurrian. \n\nso, apakah orang ibrani-yahudi juga kasih nama anaknya dgn ""abd - "" ?'",0,0,0,0,0,0,0,0,0
128,2337,4. Apa saja tulisan yang telah dibuat? USER #KUchat,0,0,0,0,0,0,0,0,0
129,11821,RT USER USER USER USER Bener kamu ngga ada apa-apa nya,1,0,1,0,0,0,0,0,1
130,6988,Polisi&amp;#x1f46e; Copot Tenda Becak Bertulis #2019GantiPresiden URL,0,0,0,0,0,0,0,0,0
131,1399,USER USER USER dimas maho doyan pentil mimi peri',1,1,1,0,0,0,0,1,0
132,7294,USER Itu eonnie ya! Yang suka berendamnya pake bunga bangkai?',0,0,0,0,0,0,0,0,0
133,1764,"Tiba2 pada sadar bahwa bahasa ""kampret-cebong"" tdk pantas..setelah sekian lama menebar bahasa dg segala SARA dan kebencian...?? Trs kata2 ""KAFIR, CINA, PKI..dsb...?? #MUNAFIK.'",1,1,0,1,0,0,0,0,1
134,533,"Semangat Terus Pak USER. ; Kantor Staf Presiden Harus Terdepan Publikasikan Semua Kegiatan Presiden Supaya Rakyat Tau Bahwa Presiden Kerja Keras Membangun Bangsa ini, kerja.. kerja.. kerja; USER USER; USER USER",0,0,0,0,0,0,0,0,0
135,5503,"Kapan ya ada demo lagi dengan membawa teriakan ""Lengserkan Jokowi sekarang juga"" di depan istana... blokir jokowi",1,0,1,0,0,0,0,0,1
136,2618,USER USER Bodat KOMUNIS TOLOL',1,1,1,0,0,1,0,0,0
137,13156,Presiden Joko Widodo (Jokowi) masuk daftar The Muslim 500. Kepala Staf Kepresidenan Moeldoko menyebut predikat itu sebagai bukti Jokowi memperjuangkan kepentingan umat Islam.; #TokohMuslimBerpengaruh #TheMuslim500;,0,0,0,0,0,0,0,0,0
138,9903,USER USER Hahahha ketauan main medsos tp dungu..dasar kecebong USER',1,1,1,0,0,0,0,0,1
139,11385,"USER USER USER USER USER USER USER Kenapa lo emosi? Pe'a. Dasar cebong, \xf0\x9f\x98\x82""",1,1,1,0,0,0,0,0,1
140,9485,Kuat brp ronde hihi\nNgentot sange',0,1,0,0,0,0,0,0,0
141,5773,"apakah sebuah kebetulan kristen Syriac dan Arabislam memakai sebutan ""alah/ allah"" yg sama? kita punya bukti literatur pd Syriac tp tidak pada Arabislam.'",0,0,0,0,0,0,0,0,0
142,1407,"Demi deh gw tuh paling demen sama cowo lawaq \xf0\x9f\x98\x82 \nSungjin,jae(walaupun lawakannya krik) semua member BTOB, lucas, dll......... \nDari pada cowok yg bejat bejat wkwkwk... Kalo ngeliat yg bad boy hanya sekedar main mata asekkk wkwkwk'",0,1,0,0,0,0,0,0,0
143,8375,jokowi ratu adil apaan..??? dia ga ada keturunan darah biruadanya DARAH KOTOR cina babi..!!! URL,1,1,1,0,0,1,0,0,0
144,315,"USER USER Mari berjuang....sampai #Jokowi dilanti kembali di thn 2019.\nJangan gentar !\nJangan takut !\nWalau mata benang di leher, walau ujung tombak di porut !!\n\nTidak akan surut langkah kita,\nTidak akan bisu suara kita,\nTidak akan",0,0,0,0,0,0,0,0,0
145,10803,"Cuma mau ingatkan saja, agar berhati hati dalam bersosmed dan menyampaikan pendapat, jangan terperangkap dalam gaya komunikasi agresif provokatif.; Tetap berada dijalan yang benar dan tetap menggelagarkan #2019GantiPresiden ; ; Yang setuju RT dan Like yuk",0,0,0,0,0,0,0,0,0
146,4498,USER \xf0\x9f\x98\x80\xf0\x9f\x98\x80\xf0\x9f\x98\x80udah nanya serius salah lagi..hihihi.\nhadeuuh2...masa gak bisa bedain sampah plastik ma bangkai kapal.',0,0,0,0,0,0,0,0,0
147,8824,pendukung Prabowo spt ARB SDA adl orang-orang bejad tabiatnya kasar termasuk org ini &gt;&gt; USER,1,1,1,0,0,0,0,0,1
148,11167,Yg ada dipikirannya hanya kekuasaan; Ngga peduli rakyatnya kayak apa; #2019GantiPresiden,1,0,1,0,0,0,0,0,1
149,9086,RT USER USER Kalau saya sih ga heran antek-antek pki sdh mulai muncul kalau sdh ada rintik-rintik hujan,1,0,0,1,0,1,0,0,0
150,12478,USER Iya edan kaya lu',1,1,1,0,0,0,1,0,0
151,3239,"Fb tai anjing lah,'",0,1,0,0,0,0,0,0,0
152,5051,USER USER Ga aneh survey bawa nama kampus.. Nanti kaya si luhut bawa itb buat dukung reklamasi.. Cebong mah gitu.. Heheheh',1,1,1,0,0,0,0,0,1
153,8011,RT USER: USER Klu rezim sdh berganti saja pulang. anti islam gak bisa dipercaya.,1,0,1,0,1,0,0,0,0
154,6099,"Perginya TKA diharapkan dapat menciptakan lowongan pekerjaan baru yang ditargetkan dapat mencapai 450,000 posisi di sektor swasta pada tahun 2020 khusus untuk warga Saudi. \n\nURL URL",0,0,0,0,0,0,0,0,0
155,3829,"Alhamdulillah,semenjak pak jokowi jadi presiden,sudah banyak jln tol yg dibangun,contohnya jln tol trans Kalimantan dan jln tol di Sulawesi Tengah.Jln tol dikedua daerah ini pintu gerbangnya sengaja dibuat sama bahwa itu hasil karya jokowi, tapi kok mirip",0,0,0,0,0,0,0,0,0
156,2051,Mau balik ke Orba? Pilihlah Prabowo mau lanjutkan reformasi? Pilihlah Jokowi. Nasib memang pilihan tak terkecuali nasib negara juga. :-),1,0,1,0,0,0,0,0,1
157,6141,Pendahulu memengusir Cina 1 kota ! turun dan turun ke anak-anak skrg siloam di usir ! kapan boleh memengusir ? ketika kalian di injak2 !,1,0,0,1,0,0,0,0,1
158,12089,"Dua kali nonton flimnya Kim Tae Ri di The Handmaiden sama Little Forest aktingnya bagus sama cantik, bersih tanpa oplas, cuma belum lihat dia main drama atau dia khusus main flim doang ya... Tapi katanya dia bakal main drama ditvn bulan juni, ditunggu deh dramanya...'",0,0,0,0,0,0,0,0,0
159,9541,"yg didepan pada minggir buat ngasih jalan yg turun, eh yg belakang maju ke tengah. kan pada minta di jorokin. \n\nBEGO.'",1,1,0,1,0,0,0,0,1
160,828,USER Kalo sehati cacat dong?: (',0,1,0,0,0,0,0,0,0
161,4339,Inovasi Desa kuatkan ekonomi masyarakat nagari di Sumatera Barat; #BumdesMendunia ; #TPPISumbar ; ; USER ; USER ; USER ; USER ; USER ; USER ; USER,0,0,0,0,0,0,0,0,0
162,3913,"USER USER Ko jokowi""prabowo lah""sekarang rayat kecil susah""listrik aja tambah mahal",1,0,1,0,0,0,0,0,1
163,7656,Sayang industry oil n gas kita kebnykkan warga asing.. di mnakah anak melayu...',0,0,0,0,0,0,0,0,0
164,2758,USER USER USER USER /siapin taplak meja di bahu q/',0,0,0,0,0,0,0,0,0
165,3974,USER Emg gembel',0,1,0,0,0,0,0,0,0
166,5642,USER USER woy goblog gw ngakak=))',0,1,0,0,0,0,0,0,0
167,12941,Hasil REVOLUSI MENTAL; Anak seumuran SD tak malu pacaran bahkan pakai Materai segala...???; Inilah wajah generasi muda kita sekarang dan wajar saja lah wong kemendikbudnya juga ngajak nonton DILAN; ; #2019GantiPresiden ; ; USER USER USER @,1,0,0,1,0,0,0,0,1
168,9383,USER USER Pingin jilat memek',0,1,0,0,0,0,0,0,0
169,12130,bubarkan pansus buang uang dan cari gara-gara tok.... URL,1,0,0,1,0,0,0,0,1
170,2478,URL &lt;-cewek jablay bugil minta dibelai #bokep #fotomemek #ngentot #bugil #ngentot',0,1,0,0,0,0,0,0,0
171,12922,USER Banyak cebong stres disini \xf0\x9f\x98\x82',1,1,0,1,0,0,0,0,1
172,9638,Moga USER terus berkembang pesat!,0,0,0,0,0,0,0,0,0
173,8609,USER Mereka butuh bom cinta kasih yang tulus',0,0,0,0,0,0,0,0,0
174,11244,USER WKWKWKW LAHIRAN BOONGAN OCHU\xf0\x9f\x98\xad yg hamil sipit/?',0,0,0,0,0,0,0,0,0
175,4361,RT USER USER USER USER Ucapan mu bos yg berfoto dgn anis pasti benci ahok jokowi,1,0,1,0,0,0,0,0,1
176,13098,USER Ah tai ki. Besok gausah diperpanjang kali ya. Busuk bgt USER di jkt. Ngerasain 200kbps aja kaga gua. Ana jg ngeluh mulu',0,1,0,0,0,0,0,0,0
